Project Name,Primary Funder,Other Funders,Group(s),Institution,Type,PMs,Research Field
Synote,-,,Electronics and Computer Science,University of Southampton,Open Call:7,1.50,Software Infrastructure
iHUB,-,,Faculty of Science,University of Nottingham,Externally Funded,1.03,Biological sciences
recipy,-,,Geography and Environment,University of Southampton,Engagement,1.08,All
CGPACK,EPSRC,NERC,"Department of Mechanical Engineering, Solid Mechanics group",University of Bristol,Open Call:6,2.50,Physics
ReproPhylo,NERC,,"School of Biological, Biomedical and Environmental Sciences",University of Hull,Open Call:6,1.05,Biology
GLOMAP,NERC,,Institute of Climate and Atmospheric Science,University of Leeds,Open Call:6,0.00,Environmental Science
MONC,NERC,EPSRC,"EPCC, Met Office","University of Edinburgh, Met Office",Open Call:6,1.90,Environmental Science
JiscRDS,Jisc,,Jisc,,Externally Funded,0.60,Research Data
ProvToolSuite,EPSRC,,Electronics and Computer Science,University of Southampton,Open Call:5,2.11,"Provenance, Linked Data, Standards"
RTI-VIPS,AHRC,,Electronics and Computer Science,University of Southampton,Open Call:5,1.50,Humanities
APEL,EU,STFC,,STFC,Open Call:5,1.50,Software Infrastructure
sameas-lite,-,,Electronics and Computer Science,"University of Southampton, Seme4 Ltd",Open Call:5,0.95,Software Infrastructure
BigDataSensing,EPSRC,,,University College London ,Externally Funded,,Software Infrastructure
MarineTech,EPSRC,,,Imperial College London,Externally Funded,,Environmental Science
ProtoMS,BBSRC,,"School of Chemistry, J W Essex Research Group","University of Southampton, School of Chemistry",Open Call:5,1.68,Chemistry
AircraftGeometry,EPSRC,,Faculty of Engineering and the Environment,University of Southampton,Open Call:5,0.50,Engineering
CGAT,MRC,,Functional Genomics Unit,University of Oxford,Open Call:3,1.00,Biology
VAMPIRE,EPSRC,"MRC,EU",Wellcome Trust Clinical Research Facility,University of Edinburgh,Engagement,1.60,Medicine
DISTANCE,EPSRC,,School of Mathematics and Statistics,University of St. Andrews,Open Call:4,2.42,Biology
APES,EPSRC,NSF,Chemistry,Washington University in Saint Louis,Externally Funded,0.00,Chemistry
