Project,Total Effort (PMs)
University of Edinburgh,34.70
Rutherford Appleton Laboratories,14.20
University of Southampton,13.20
King's College London,10.09
Culham Centre for Fusion Energy,9.00
University of East Anglia,9.00
University of St. Andrews,6.07
University College London,4.83
University of Bristol,4.65
Imperial College London,3.84
University of Oxford,2.91
University of Manchester,2.25
The Genome Analysis Centre ,1.61
University of London Vet School,1.00
Durham University,0.90
Heriot-Watt University,0.50
London School of Economics,0.50
University of Salford,0.50
