Project,Number
Culham Centre for Fusion Energy,1
Durham University,1
Heriot-Watt University,1
Imperial College London,6
King's College London,2
London School of Economics,1
Open University,1
Rutherford Appleton Laboratories,8
The Genome Analysis Centre ,1
University College London,3
University of Bristol,5
University of East Anglia,1
University of Edinburgh,7
University of Hull,1
University of Leeds,1
University of London Vet School,1
University of Manchester,3
University of Nottingham,1
University of Oxford,3
University of Salford,1
University of Southampton,11
University of St. Andrews,2
Washington University in Saint Louis,1
