Institution,Attendees
Boston University,118
University College London,75
Newcastle University,72
University of Edinburgh,70
University of Glasgow,57
University of Oxford,51
University of Southampton,48
University of Manchester,47
Max Planck Institute Tuebingen,40
Oklahoma University,40
Greenwich Digital Enterprise Centre,36
University of Virginia,34
University of Dundee,32
"GARNet, University of Warwick",28
Indiana University,28
Jagiellonian University,28
University of Bristol,27
Technische Universitat Munchen,25
University of Bath,25
The Genome Analysis Centre (TGAC),24
University of Cambridge,24
University of Exeter,23
"EGI Forum, Manchester",20
